id,issue_date,status,location,short_term_rental_type,property_type,property_type_additional_description,condo_association,total_bedrooms,rented_bedrooms,maximum_renter_capacity,kitchen,bathrooms,all_rental_services
14653,April 11 2020,Complete,"135 Tremont St
Cambridge, MA 02139
(42.373964, -71.096664)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,3,Yes,1,Airbnb
14761,March 19 2019,Complete,"94 Thorndike St
Cambridge, MA 02141
(42.369913, -71.082231)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Semi Attached Brownstone,No,4,2,4,No,2,Airbnb
62355,February 14 2020,Complete,"208 Prospect St
Cambridge, MA 02139
(42.370486, -71.100198)",This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,3,3,8,Yes,3,"Airbnb, HomeAway, VRBO"
13807,March 15 2019,Complete,"13 Holmes St
Cambridge, MA 02138
(42.377639, -71.149691)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,2,2,2,Yes,1,"Airbnb, HomeAway"
17593,August 08 2018,Complete,"241 Norfolk St
Cambridge, MA 02139
(42.370126, -71.098066)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,3,3,8,Yes,1.5,Airbnb
13899,July 08 2019,Complete,"24-B Mt Auburn St
Cambridge, MA 02138
(42.370774, -71.115287)",This application is for an OWNER-ADJACENT short-term rental,"Multi-family dwelling of four units or less, all of which are owned by the operator",,No,1,1,4,Yes,1,Airbnb
67971,March 04 2020,Complete,"8 Dover St
Cambridge, MA 02140
(42.39473, -71.126635)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Multi Unit building - I rent out a unit I occupy,No,2,2,4,Yes,1,Airbnb
14725,October 21 2019,Complete,"16 Market St
Cambridge, MA 02139
(42.367255, -71.094562)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,3,2,3,Yes,2,Airbnb
13583,March 26 2018,Complete,"16 Bowdoin St
Cambridge, MA 02138
(42.382714, -71.120679)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,4,2,3,No,3,Airbnb
13233,March 29 2019,Complete,"34 May St
Cambridge, MA 02138
(42.379085, -71.15375)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,2,Yes,1,Airbnb
15150,June 26 2018,Complete,"191 Western Ave
Cambridge, MA 02139
(42.364799, -71.110073)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,1,1,5,Yes,1,Airbnb
18433,September 25 2019,Complete,"198 Franklin St
Cambridge, MA 02139
(42.36339, -71.103281)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,8,Yes,2,Airbnb
13726,April 04 2018,Complete,"15 Holmes St
Cambridge, MA 02138
(42.377639, -71.149724)",This application is for an OWNER-ADJACENT short-term rental,Two-family dwelling,,No,4,4,8,Yes,2,"Airbnb, HomeAway"
13687,April 16 2019,Complete,"9 Forest St
Cambridge, MA 02140
(42.385292, -71.118028)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,4,1,2,Yes,1,Airbnb
15634,August 13 2018,Complete,"4-A Mt Auburn St
Cambridge, MA 02138
(42.370211, -71.113694)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,5,3,6,Yes,4,Airbnb
13886,April 06 2018,Complete,"397 Norfolk St
Cambridge, MA 02139
(42.373935, -71.095758)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,3,1,2,Yes,1,Airbnb
13988,March 25 2019,Complete,"59 Elm St
Cambridge, MA 02139
(42.368581, -71.097965)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,No,3,2,3,No,2,Airbnb
56532,October 09 2019,Complete,"126 Garden St
Cambridge, MA 02138
(42.384397, -71.130644)",This application is for an OPERATOR-OCCUPIED short-term rental,Other,Single Family attached house,No,4,1,3,No,1,Airbnb
32814,April 04 2019,Complete,"285 Third St
Cambridge, MA 02142
(42.364905, -71.082869)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,2,2,5,Yes,2,Airbnb
14646,April 05 2018,Complete,"139 Magazine St
Cambridge, MA 02139
(42.358477, -71.111777)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,4,3,6,Yes,3,Airbnb
13856,April 05 2019,Complete,"53 Ellery St
Cambridge, MA 02138
(42.372064, -71.110188)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,3,5,Yes,3,Airbnb
48801,January 16 2020,Complete,"42 Bowdoin St
Cambridge, MA 02138
(42.383883, -71.121647)",This application is for an OPERATOR-OCCUPIED short-term rental,Two-family dwelling,,Yes,5,2,4,Yes,1,Airbnb
31371,April 08 2019,Complete,"184 Green St
Cambridge, MA 02139
(42.363624, -71.102262)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,Yes,3,3,6,Yes,1,Airbnb
44924,May 09 2019,Complete,"100 Auburn St
Cambridge, MA 02139
(42.362472, -71.103169)",This application is for an OPERATOR-OCCUPIED short-term rental,Three-family structure,,No,3,2,4,Yes,1,Airbnb
13922,May 16 2019,Complete,"51 Avon Hill St
Cambridge, MA 02138
(42.384815, -71.124425)",This application is for an OPERATOR-OCCUPIED short-term rental,Single-family detached dwelling,,No,7,1,2,No,1,"Airbnb, HomeAway"
